ScientificName,AphiaID,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Isochrysis maritima,620683,Isochrysis maritima,Chromista,Haptophyta,Prymnesiophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,maritima
Agrammus agrammus,279410,Hexagrammos agrammus,Animalia,Chordata,Actinopteri,Perciformes,Hexagrammidae,Agrammus,agrammus
Chrysophrys major,273976,Pagrus major,Animalia,Chordata,Actinopteri,Eupercaria,Sparidae,Chrysophrys,major
Enedrias nebulosus,273691,Pholis nebulosa,Animalia,Chordata,Actinopteri,Perciformes,Pholidae,Enedrias,nebulosus
Laphiomus setigerus,217838,Lophiomus setigerus,Animalia,Chordata,Actinopteri,Lophiiformes,Lophiidae,Laphiomus,setigerus
Chichorus virginicus,,,,,,,,,
Echensis naucrates,126848,Echeneis naucrates,Animalia,Chordata,Actinopteri,Carangiformes,Echeneidae,Echensis,naucrates
Euphasia superba,,,,,,,,,
Pinctata radiata,,,,,,,,,
Sciania hatei,,,,,,,,,
Xancus pyrum,208609,Turbinella pyrum,Animalia,Mollusca,Gastropoda,Neogastropoda,Turbinellidae,Xancus,pyrum
Liza saliens,1042832,Chelon saliens,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,saliens
Magalaspis cordyla,218430,Megalaspis cordyla,Animalia,Chordata,Actinopteri,Carangiformes,Carangidae,Magalaspis,cordyla
Selariodes leptolepis,282745,Selaroides leptolepis,Animalia,Chordata,Actinopteri,Carangiformes,Carangidae,Selariodes,leptolepis
Johnieops dussumieri,367241,Johnius dussumieri,Animalia,Chordata,Actinopteri,Eupercaria,Sciaenidae,Johnieops,dussumieri
Megaloancistrus aculeatus,,,,,,,,,
Petromyzon marinus,101174,Petromyzon marinus,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae,Petromyzon,marinus
Dictyosphaerium chlorelloides,839898,Chlorella chlorelloides,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium,chlorelloides
Enedrias fangi,273688,Pholis fangi,Animalia,Chordata,Actinopteri,Perciformes,Pholidae,Enedrias,fangi
Triaenopogon barbatus,283044,Tridentiger barbatus,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Triaenopogon,barbatus
Brongniartella australis,498323,Vertebrata australis,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Brongniartella,australis
Dasyphloea insignis,374929,Dasyphloea insignis,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dasyphloea,insignis
Echinothamnion hystrix,371658,Echinothamnion hystrix,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Echinothamnion,hystrix
Hemineura frondosa,371587,Hemineura frondosa,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Hemineura,frondosa
Lenormandia marginata,373725,Lenormandia marginata,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Lenormandia,marginata
Osmundaria obtusiloba,373140,Osmundaria obtusiloba,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundaria,obtusiloba
Pollexfenia lobata,375459,Pollexfenia lobata,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Pollexfenia,lobata
Rhodoglossum gigartinoides,371367,Rhodoglossum gigartinoides,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Rhodoglossum,gigartinoides
Zymurgia chondriopsidea,374923,Zymurgia chondriopsidea,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Zymurgia,chondriopsidea
Rastelliger kanagurta,,,,,,,,,
Halopeltis wilsonis,,,,,,,,,
Nitospinosa tasmanica,396004,Nitospinosa tasmanica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Nitospinosa,tasmanica
Polyopes constrictus,213818,Polyopes constrictus,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Polyopes,constrictus
Sarcotrichia dolichocystidea,376214,Sarcotrichia dolichocystidea,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Sarcomeniaceae,Sarcotrichia,dolichocystidea
Catastomus commersoni,158707,Catostomus commersonii,Animalia,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,commersonii
